iso3,country,rdi,christian,muslim,unaffiliated,hindu,buddhist,folk,other,jewish,population,dominant_religion,maj_christian,maj_muslim,maj_unaffiliated,maj_hindu,maj_buddhist,maj_folk,maj_other,maj_jewish
LBY,Libya,0.7,0.027,0.966,0.002,0.0,0.003,0.0,0.0,0.0,6360000,muslim,0,1,0,0,0,0,0,0
LIE,Liechtenstein,1.7,0.919,0.05,0.029,0.0,0.0,0.0,0.0,0.001,40000,christian,1,0,0,0,0,0,0,0
LTU,Lithuania,2.1,0.898,0.0,0.1,0.0,0.0,0.0,0.0,0.0,3320000,christian,1,0,0,0,0,0,0,0
LUX,Luxembourg,4.9,0.704,0.023,0.268,0.0,0.0,0.0,0.003,0.001,510000,christian,1,0,0,0,0,0,0,0
MAC,Macau,6.8,0.072,0.002,0.154,0.0,0.173,0.589,0.01,0.0,540000,folk,0,0,0,0,0,1,0,0
MDG,Madagascar,3.0,0.853,0.03,0.069,0.0,0.0,0.045,0.0,0.0,20710000,christian,1,0,0,0,0,0,0,0
MWI,Malawi,3.4,0.827,0.13,0.025,0.0,0.0,0.017,0.0,0.0,14900000,christian,1,0,0,0,0,0,0,0
MYS,Malaysia,6.3,0.094,0.637,0.007,0.06,0.177,0.023,0.002,0.0,28400000,muslim,0,1,0,0,0,0,0,0
MDV,Maldives,0.4,0.004,0.984,0.0,0.003,0.006,0.0,0.0,0.0,320000,muslim,0,1,0,0,0,0,0,0
MLI,Mali,1.6,0.032,0.924,0.027,0.0,0.0,0.016,0.0,0.0,15370000,muslim,0,1,0,0,0,0,0,0
MLT,Malta,0.7,0.97,0.002,0.025,0.002,0.0,0.0,0.0,0.0,420000,christian,1,0,0,0,0,0,0,0
MHL,Marshall Islands,0.6,0.975,0.0,0.015,0.0,0.0,0.003,0.008,0.0,50000,christian,1,0,0,0,0,0,0,0
MTQ,Martinique,0.8,0.965,0.002,0.023,0.002,0.0,0.002,0.006,0.0,410000,christian,1,0,0,0,0,0,0,0
MRT,Mauritania,0.2,0.003,0.991,0.001,0.0,0.0,0.005,0.0,0.0,3460000,muslim,0,1,0,0,0,0,0,0
MUS,Mauritius,6.7,0.253,0.167,0.006,0.564,0.0,0.007,0.003,0.0,1300000,hindu,0,0,0,1,0,0,0,0
MYT,Mayotte,0.3,0.007,0.986,0.002,0.0,0.0,0.005,0.0,0.0,200000,muslim,0,1,0,0,0,0,0,0
MEX,Mexico,1.1,0.951,0.0,0.047,0.0,0.0,0.0,0.0,0.0,113420000,christian,1,0,0,0,0,0,0,0
MDA,Moldova,0.6,0.974,0.006,0.014,0.0,0.0,0.0,0.0,0.006,3570000,christian,1,0,0,0,0,0,0,0
MCO,Monaco,2.8,0.86,0.004,0.117,0.0,0.0,0.0,0.002,0.017,40000,christian,1,0,0,0,0,0,0,0
MNG,Mongolia,6.5,0.023,0.032,0.359,0.0,0.551,0.035,0.0,0.0,2760000,buddhist,0,0,0,0,1,0,0,0
MNE,Montenegro,4.0,0.781,0.187,0.032,0.0,0.0,0.0,0.0,0.0,630000,christian,1,0,0,0,0,0,0,0
MSR,Montserrat,1.4,0.935,0.0,0.048,0.001,0.0,0.002,0.015,0.0,10000,christian,1,0,0,0,0,0,0,0
MAR,Morocco,0.0,0.0,0.999,0.0,0.0,0.0,0.0,0.0,0.0,31950000,muslim,0,1,0,0,0,0,0,0
MOZ,Mozambique,7.0,0.567,0.18,0.179,0.0,0.0,0.074,0.0,0.0,23390000,christian,1,0,0,0,0,0,0,0
NAM,Namibia,0.6,0.975,0.003,0.019,0.0,0.0,0.002,0.0,0.0,2280000,christian,1,0,0,0,0,0,0,0
NRU,Nauru,4.1,0.79,0.0,0.045,0.0,0.011,0.081,0.074,0.0,10000,christian,1,0,0,0,0,0,0,0
NPL,Nepal,3.8,0.005,0.046,0.003,0.807,0.103,0.037,0.0,0.0,29960000,hindu,0,0,0,1,0,0,0,0
NLD,Netherlands,6.4,0.506,0.06,0.421,0.005,0.002,0.002,0.002,0.002,16610000,christian,1,0,0,0,0,0,0,0
NCL,New Caledonia,3.0,0.852,0.028,0.104,0.0,0.006,0.002,0.008,0.0,250000,christian,1,0,0,0,0,0,0,0
NZL,New Zealand,6.2,0.57,0.012,0.366,0.021,0.016,0.005,0.007,0.002,4370000,christian,1,0,0,0,0,0,0,0
NIC,Nicaragua,2.8,0.858,0.0,0.125,0.0,0.0,0.014,0.001,0.0,5790000,christian,1,0,0,0,0,0,0,0
NER,Niger,0.4,0.008,0.984,0.007,0.0,0.0,0.0,0.0,0.0,15510000,muslim,0,1,0,0,0,0,0,0
NGA,Nigeria,5.9,0.493,0.488,0.004,0.0,0.0,0.014,0.0,0.0,158420000,christian,1,0,0,0,0,0,0,0
NIU,Niue,0.8,0.964,0.0,0.033,0.0,0.0,0.0,0.002,0.0,10000,christian,1,0,0,0,0,0,0,0
PRK,North Korea,5.3,0.02,0.0,0.713,0.0,0.015,0.123,0.129,0.0,24350000,unaffiliated,0,0,1,0,0,0,0,0
MNP,Northern Mariana Islands,3.7,0.813,0.007,0.01,0.0,0.106,0.053,0.011,0.0,60000,christian,1,0,0,0,0,0,0,0
NOR,Norway,3.1,0.847,0.037,0.101,0.005,0.006,0.0,0.002,0.0,4880000,christian,1,0,0,0,0,0,0,0
OMN,Oman,2.9,0.065,0.859,0.002,0.055,0.008,0.0,0.01,0.0,2780000,muslim,0,1,0,0,0,0,0,0
PAK,Pakistan,0.8,0.016,0.964,0.0,0.019,0.0,0.0,0.0,0.0,173590000,muslim,0,1,0,0,0,0,0,0
PLW,Palau,2.7,0.867,0.0,0.012,0.0,0.008,0.008,0.104,0.0,20000,christian,1,0,0,0,0,0,0,0
PSE,Palestinian territories,0.5,0.024,0.976,0.0,0.0,0.0,0.0,0.0,0.0,4040000,muslim,0,1,0,0,0,0,0,0
PAN,Panama,1.5,0.93,0.007,0.048,0.0,0.002,0.004,0.004,0.004,3520000,christian,1,0,0,0,0,0,0,0
PNG,Papua New Guinea,0.2,0.992,0.0,0.0,0.0,0.0,0.004,0.002,0.0,6860000,christian,1,0,0,0,0,0,0,0
PRY,Paraguay,0.7,0.969,0.0,0.011,0.0,0.0,0.017,0.002,0.0,6450000,christian,1,0,0,0,0,0,0,0
PER,Peru,1.0,0.955,0.0,0.03,0.0,0.002,0.01,0.003,0.0,29080000,christian,1,0,0,0,0,0,0,0
PHL,Philippines,1.6,0.926,0.055,0.001,0.0,0.0,0.015,0.001,0.0,93260000,christian,1,0,0,0,0,0,0,0
POL,Poland,1.2,0.943,0.0,0.056,0.0,0.0,0.0,0.0,0.0,38280000,christian,1,0,0,0,0,0,0,0
PRT,Portugal,1.4,0.938,0.006,0.044,0.001,0.006,0.005,0.0,0.0,10680000,christian,1,0,0,0,0,0,0,0
PRI,Puerto Rico,0.7,0.967,0.0,0.019,0.0,0.003,0.008,0.001,0.0,3750000,christian,1,0,0,0,0,0,0,0
QAT,Qatar,5.7,0.138,0.677,0.009,0.138,0.031,0.0,0.007,0.0,1760000,muslim,0,1,0,0,0,0,0,0
MKD,Republic of Macedonia,5.6,0.593,0.393,0.014,0.0,0.0,0.0,0.0,0.0,2060000,christian,1,0,0,0,0,0,0,0
COG,Republic of the Congo,2.9,0.859,0.012,0.09,0.0,0.0,0.028,0.011,0.0,4040000,christian,1,0,0,0,0,0,0,0
REU,Reunion,2.6,0.876,0.042,0.02,0.045,0.002,0.004,0.011,0.0,850000,christian,1,0,0,0,0,0,0,0
ROU,Romania,0.1,0.995,0.003,0.001,0.0,0.0,0.0,0.0,0.0,21490000,christian,1,0,0,0,0,0,0,0
RUS,Russia,4.9,0.733,0.1,0.162,0.0,0.001,0.002,0.0,0.002,142960000,christian,1,0,0,0,0,0,0,0
RWA,Rwanda,1.4,0.934,0.018,0.036,0.0,0.0,0.01,0.002,0.0,10620000,christian,1,0,0,0,0,0,0,0
WSM,Samoa,0.7,0.968,0.0,0.025,0.0,0.0,0.0,0.004,0.0,180000,christian,1,0,0,0,0,0,0,0
SMR,San Marino,1.8,0.916,0.0,0.072,0.0,0.0,0.0,0.009,0.003,30000,christian,1,0,0,0,0,0,0,0
STP,Sao Tome and Principe,3.5,0.822,0.0,0.126,0.0,0.0,0.029,0.024,0.0,170000,christian,1,0,0,0,0,0,0,0
SAU,Saudi Arabia,1.5,0.044,0.93,0.007,0.011,0.003,0.003,0.003,0.0,27450000,muslim,0,1,0,0,0,0,0,0
SEN,Senegal,0.8,0.036,0.964,0.0,0.0,0.0,0.0,0.0,0.0,12430000,muslim,0,1,0,0,0,0,0,0
SRB,Serbia,1.6,0.925,0.042,0.033,0.0,0.0,0.0,0.0,0.0,7770000,christian,1,0,0,0,0,0,0,0
SYC,Seychelles,1.3,0.94,0.011,0.021,0.021,0.0,0.0,0.006,0.0,90000,christian,1,0,0,0,0,0,0,0
SLE,Sierra Leone,4.0,0.209,0.78,0.001,0.0,0.0,0.008,0.0,0.0,5870000,muslim,0,1,0,0,0,0,0,0
SGP,Singapore,9.0,0.182,0.143,0.164,0.052,0.339,0.023,0.097,0.0,5090000,buddhist,0,0,0,0,1,0,0,0
SVK,Slovakia,2.9,0.853,0.002,0.143,0.0,0.0,0.0,0.0,0.0,5460000,christian,1,0,0,0,0,0,0,0
SVN,Slovenia,4.0,0.784,0.036,0.18,0.0,0.0,0.0,0.0,0.0,2030000,christian,1,0,0,0,0,0,0,0
SLB,Solomon Islands,0.6,0.974,0.0,0.002,0.0,0.003,0.013,0.007,0.0,540000,christian,1,0,0,0,0,0,0,0
SOM,Somalia,0.1,0.0,0.998,0.0,0.0,0.0,0.0,0.0,0.0,9330000,muslim,0,1,0,0,0,0,0,0
ZAF,South Africa,3.6,0.812,0.017,0.149,0.011,0.002,0.004,0.003,0.001,50130000,christian,1,0,0,0,0,0,0,0
KOR,South Korea,7.4,0.294,0.002,0.464,0.0,0.229,0.008,0.002,0.0,48180000,unaffiliated,0,0,1,0,0,0,0,0
SSD,South Sudan,6.0,0.605,0.062,0.005,0.0,0.0,0.329,0.0,0.0,9950000,christian,1,0,0,0,0,0,0,0
ESP,Spain,3.9,0.786,0.021,0.19,0.0,0.0,0.0,0.0,0.001,46080000,christian,1,0,0,0,0,0,0,0
LKA,Sri Lanka,5.6,0.073,0.098,0.0,0.136,0.693,0.0,0.0,0.0,20860000,buddhist,0,0,0,0,1,0,0,0
SHN,St. Helena,0.8,0.965,0.0,0.033,0.0,0.0,0.0,0.002,0.0,10000,christian,1,0,0,0,0,0,0,0
KNA,St. Kitts and Nevis,1.2,0.946,0.003,0.016,0.015,0.0,0.013,0.008,0.0,50000,christian,1,0,0,0,0,0,0,0
LCA,St. Lucia,1.9,0.911,0.001,0.06,0.003,0.0,0.005,0.02,0.0,170000,christian,1,0,0,0,0,0,0,0
SPM,St. Pierre and Miquelon,1.2,0.947,0.002,0.038,0.0,0.0,0.0,0.013,0.0,10000,christian,1,0,0,0,0,0,0,0
VCT,St. Vincent and the Grenadines,2.4,0.887,0.015,0.025,0.034,0.0,0.02,0.02,0.0,110000,christian,1,0,0,0,0,0,0,0
SDN,Sudan,2.0,0.054,0.907,0.01,0.0,0.0,0.028,0.0,0.0,33600000,muslim,0,1,0,0,0,0,0,0
SUR,Suriname,7.6,0.516,0.152,0.054,0.198,0.006,0.053,0.018,0.002,520000,christian,1,0,0,0,0,0,0,0
SWZ,Swaziland,2.4,0.881,0.002,0.101,0.001,0.0,0.01,0.004,0.0,1190000,christian,1,0,0,0,0,0,0,0
SWE,Sweden,5.4,0.672,0.046,0.27,0.002,0.004,0.002,0.002,0.001,9380000,christian,1,0,0,0,0,0,0,0
CHE,Switzerland,3.7,0.813,0.055,0.119,0.004,0.004,0.0,0.001,0.003,7660000,christian,1,0,0,0,0,0,0,0
SYR,Syria,1.6,0.052,0.928,0.02,0.0,0.0,0.0,0.0,0.0,20410000,muslim,0,1,0,0,0,0,0,0
TWN,Taiwan,8.2,0.055,0.0,0.127,0.0,0.213,0.442,0.162,0.0,23220000,folk,0,0,0,0,0,1,0,0
TJK,Tajikistan,0.7,0.016,0.967,0.015,0.0,0.0,0.0,0.0,0.0,6880000,muslim,0,1,0,0,0,0,0,0
TZA,Tanzania,5.7,0.614,0.352,0.014,0.001,0.0,0.018,0.0,0.0,44840000,christian,1,0,0,0,0,0,0,0
THA,Thailand,1.5,0.009,0.055,0.003,0.001,0.932,0.0,0.0,0.0,69120000,buddhist,0,0,0,0,1,0,0,0
TLS,Timor-Leste,0.1,0.996,0.001,0.0,0.0,0.0,0.001,0.0,0.0,1120000,christian,1,0,0,0,0,0,0,0
TGO,Togo,7.5,0.437,0.14,0.062,0.0,0.0,0.356,0.006,0.0,6030000,christian,1,0,0,0,0,0,0,0
TKL,Tokelau,0.0,0.998,0.0,0.0,0.0,0.0,0.0,0.002,0.0,10000,christian,1,0,0,0,0,0,0,0
TON,Tonga,0.3,0.989,0.0,0.0,0.001,0.0,0.0,0.009,0.0,100000,christian,1,0,0,0,0,0,0,0
TTO,Trinidad and Tobago,5.8,0.659,0.059,0.019,0.227,0.003,0.019,0.014,0.0,1340000,christian,1,0,0,0,0,0,0,0
TUN,Tunisia,0.1,0.002,0.995,0.002,0.0,0.0,0.0,0.0,0.0,10480000,muslim,0,1,0,0,0,0,0,0
TUR,Turkey,0.4,0.004,0.98,0.012,0.0,0.0,0.0,0.002,0.0,72750000,muslim,0,1,0,0,0,0,0,0
TKM,Turkmenistan,1.5,0.064,0.93,0.005,0.0,0.0,0.0,0.0,0.0,5040000,muslim,0,1,0,0,0,0,0,0
TCA,Turks and Caicos Islands,1.7,0.921,0.0,0.046,0.0,0.0,0.027,0.006,0.0,40000,christian,1,0,0,0,0,0,0,0
TUV,Tuvalu,0.7,0.967,0.001,0.013,0.0,0.0,0.0,0.019,0.0,10000,christian,1,0,0,0,0,0,0,0
VIR,U.S. Virgin Islands,1.1,0.948,0.001,0.037,0.004,0.0,0.0,0.006,0.003,110000,christian,1,0,0,0,0,0,0,0
UGA,Uganda,2.7,0.867,0.115,0.005,0.003,0.0,0.009,0.001,0.0,33420000,christian,1,0,0,0,0,0,0,0
UKR,Ukraine,3.1,0.838,0.012,0.147,0.0,0.0,0.0,0.0,0.001,45450000,christian,1,0,0,0,0,0,0,0
ARE,United Arab Emirates,4.4,0.126,0.769,0.011,0.066,0.02,0.0,0.008,0.0,7510000,muslim,0,1,0,0,0,0,0,0
GBR,United Kingdom,5.1,0.711,0.044,0.213,0.013,0.004,0.003,0.008,0.005,62040000,christian,1,0,0,0,0,0,0,0
USA,United States,4.1,0.783,0.009,0.164,0.006,0.012,0.002,0.006,0.018,310380000,christian,1,0,0,0,0,0,0,0
URY,Uruguay,5.7,0.579,0.0,0.407,0.0,0.0,0.008,0.003,0.003,3370000,christian,1,0,0,0,0,0,0,0
UZB,Uzbekistan,0.7,0.023,0.967,0.008,0.0,0.0,0.0,0.0,0.0,27440000,muslim,0,1,0,0,0,0,0,0
VUT,Vanuatu,1.5,0.933,0.0,0.012,0.0,0.0,0.041,0.014,0.0,240000,christian,1,0,0,0,0,0,0,0
VAT,Vatican City,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,christian,1,0,0,0,0,0,0,0
VEN,Venezuela,2.2,0.893,0.003,0.1,0.0,0.0,0.002,0.0,0.0,28980000,christian,1,0,0,0,0,0,0,0
VNM,Vietnam,7.7,0.082,0.002,0.296,0.0,0.164,0.453,0.004,0.0,87850000,folk,0,0,0,0,0,1,0,0
WLF,Wallis and Futuna,0.6,0.974,0.0,0.006,0.0,0.0,0.012,0.008,0.0,10000,christian,1,0,0,0,0,0,0,0
ESH,Western Sahara,0.1,0.002,0.994,0.004,0.0,0.0,0.0,0.0,0.0,530000,muslim,0,1,0,0,0,0,0,0
YEM,Yemen,0.2,0.002,0.991,0.001,0.006,0.0,0.0,0.0,0.0,24050000,muslim,0,1,0,0,0,0,0,0
ZMB,Zambia,0.5,0.976,0.005,0.005,0.001,0.0,0.003,0.009,0.0,13090000,christian,1,0,0,0,0,0,0,0
ZWE,Zimbabwe,2.7,0.87,0.009,0.079,0.0,0.0,0.038,0.003,0.0,12570000,christian,1,0,0,0,0,0,0,0
